ÁREA;PROCESO;COMPONENTE;VALORACIÓN
"GESTIÓN ACADÉMICA";"Diseño pedagógico (curricular)";"Plan de estudios";""
"GESTIÓN ADMINISTRATIVA Y FINANCIERA";"Administración de servicios complementarios";"Apoyo a estudiantes con bajo desempeño académico o con dificultades de interacción";"3";"1";"1";"1"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Convivencia y manejo de conflictos";"0";"1";"4";"7"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Inducción";"3";"1";"4";"7"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Perfiles";"0";"1";"4";"7"
"GESTIÓN DE LA COMUNIDAD";"Administración de servicios complementarios";"Pertenencia del personal vinculado";"1";"1";"4";"7"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Control fiscal";"3"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Necesidades y expectativas de los estudiantes";"2";"1";"3";"7"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Presupuesto anual del Fondo de Servicios Educativos (FSE)";"1"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Programas de seguridad";"1";"1";"3";"7"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Servicio social estudiantil";"2"
"GESTIÓN DE LA COMUNIDAD";"Apoyo financiero y contable";"Uso de la planta física y de los medios";"0";"1";"3";"7"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manejo de Casos Difíciles";"0";"1";"2";"7"
"GESTIÓN DIRECTIVA";"Clima Escolar";"Manual de Convivencia";"3";"1";"2";"7"
"GESTIÓN DIRECTIVA";"Cultura Institucional";"Reconocimiento de Logros";"1";"1";"1";"7"
"GESTIÓN DIRECTIVA";"Gestión Estratégica";"Uso de información (interna y externa) para la toma de decisiones";"1";"1";"1";"7"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Comisión de Evaluación y Promoción";"3";"1";"2";"7"
"GESTIÓN DIRECTIVA";"Gobierno Escolar";"Consejo Directivo";"1";"1";"2";"7"
"GESTIÓN DIRECTIVA";"Relaciones con el entorno";"Autoridades Educativas";"3";"1";"1";"7"
