"Nombre","Rol","PreguntaIndice","Pregunta","Respuesta","Fecha"
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto al conocimiento y aplicación del manual de convivencia?","0","5/11/2025, 1:56:26 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto al conocimiento y aplicación del manual de convivencia?","0","5/11/2025, 1:57:08 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto a la comunicación e interacción con las familias o acudientes?","0","5/11/2025, 1:57:37 p. m."
"","Padre","","¿Qué grado de articulación y funcionamiento tienen la asamblea y el consejo de padres en la institución?","0","5/11/2025, 1:57:37 p. m."
"","Padre","","¿Cómo valora el apoyo institucional a los estudiantes en la formulación y desarrollo de sus proyectos de vida?","1","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel se encuentra la institución en relación con la definición, aplicación y seguimiento del enfoque metodológico institucional?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿Cómo aborda la institución la prevención de riesgos psicosociales entre los estudiantes y la comunidad educativa?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra la institución respecto a la coherencia, articulación y seguimiento del plan de estudios institucional?","1","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel se encuentra la institución respecto a los programas de adecuación, accesibilidad y embellecimiento de la planta física?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto a la coherencia y aplicación de su estrategia pedagógica?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto a la inclusión de personas de diferentes grupos poblacionales o diversidad cultural?","0","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué medida el personal vinculado se identifica con la filosofía y valores institucionales?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿Cómo se gestiona el proceso de inducción y reinducción del personal docente y administrativo?","3","5/11/2025, 1:57:37 p. m."
"","Padre","","¿Cómo se gestionan los registros contables y la información financiera en la institución?","1","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto al sentido de pertenencia y la participación activa de los estudiantes?","3","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel se encuentra la institución en cuanto a la gestión, uso y actualización de los recursos para el aprendizaje?","0","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto a la motivación de los estudiantes hacia el aprendizaje?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra la institución respecto al papel del Personero Estudiantil?","0","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel considera que se encuentra su institución respecto a la relación y comunicación con las autoridades educativas?","1","5/11/2025, 1:57:37 p. m."
"","Padre","","¿Cómo se gestionan los criterios y procesos para la asignación académica de los docentes?","2","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel se encuentra su institución respecto al proceso de seguimiento y autoevaluación institucional?","0","5/11/2025, 1:57:37 p. m."
"","Padre","","¿En qué nivel se encuentra su institución en cuanto a la articulación de sus planes, proyectos y acciones con el planteamiento estratégico?","0","5/11/2025, 1:57:37 p. m."
